Time_s,Current_A,Temperature_K,State_x,DeltaT_K
0.7348872892180388,0.00011305391672067344,300.00825182572333,0.29481104016304016,0.008251825723334605
0.7696399902471158,0.0001130197779275477,300.0086387300387,0.2945707440376282,0.008638730038683207
0.8060361408861345,0.00011305407679174095,300.00904376759325,0.2943195700645447,0.00904376759325487
0.8441534596012985,0.00011301627819193527,300.0094674993237,0.29405704140663147,0.009467499323704942
0.8840733401525063,0.00011304147483315319,300.0099110236342,0.29378268122673035,0.009911023634174398
0.9258810253973955,0.0001130054151872173,300.0103749919765,0.2934960126876831,0.010374991976505044
0.969665789314552,0.00011300450569251552,300.01086048160386,0.2931964695453644,0.010860481603856442
1.0155211276345681,0.00011299179459456354,300.01136841612885,0.2928835153579712,0.011368416128846093
1.0635449574860112,0.00011298967729089782,300.01189986147364,0.29255661368370056,0.011899861473636975
1.1138398264826195,0.00011297279706923291,300.0124558069781,0.29221516847610474,0.012455806978096007
1.1665131316981963,0.0001129528900492005,300.01303733904695,0.29185858368873596,0.013037339046945817
1.2216773489967918,0.00011293430725345388,300.0136456128103,0.2914862036705017,0.013645612810307739
1.2794502732078734,0.0001129674565163441,300.01428212409957,0.2910974323749542,0.014282124099565863
1.3399552696593384,0.00011289775284240022,300.0149475264329,0.2906915843486786,0.014947526432877112
1.4033215376054846,0.00011293787247268483,300.01564378691495,0.2902679741382599,0.015643786914949942
1.469684386112446,0.00011284699576208368,300.0163714254097,0.2898258864879608,0.016371425409715812
1.5391855229902054,0.00011285534856142476,300.01713249718284,0.28936460614204407,0.0171324971828426
1.6119733573881572,0.00011286057269899175,300.01792846459506,0.28888338804244995,0.017928464595058813
1.6882033167003627,0.00011282615741947666,300.01876056973686,0.2883814573287964,0.01876056973685536
1.7680381784572086,0.00011280994658591226,300.0196305367143,0.2878580093383789,0.019630536714316804
1.851648417912156,0.0001128346921177581,300.0205403630795,0.28731223940849304,0.020540363079476265
1.939212572065831,0.0001127745708799921,300.02149105936786,0.28674331307411194,0.021491059367861
2.030917620904737,0.00011276368604740128,300.02248483091125,0.28615039587020874,0.022484830911253084
2.126959386668692,0.00011279417230980471,300.02352393810526,0.2855326235294342,0.023523938105256548
2.227542951999559,0.00011273397103650495,300.0246094419435,0.2848890721797943,0.02460944194348258
2.3328830978641584,0.00011272509436821565,300.02574384708413,0.2842188775539398,0.025743847084129357
2.443204762186489,0.00011268086382187903,300.02692885124935,0.2835211157798767,0.026928851249351737
2.5587435201685893,0.0001126662828028202,300.0281669259599,0.2827948331832886,0.02816692595990844
2.679746087325692,0.0001126497591030784,300.02946028592703,0.2820391058921814,0.029460285927029872
2.8064708463098387,0.00011261986219324172,300.0308110789514,0.2812529504299164,0.03081107895138757
2.939188398646887,0.00011259727034484968,300.03222178585975,0.2804354429244995,0.03222178585974689
3.07818214256508,0.00011257969163125381,300.0336949520521,0.279585599899292,0.0336949520520875
3.2237488781490304,0.00011250949319219217,300.0352323796641,0.2787024676799774,0.03523237966408033
3.37619944111134,0.00011246638314332813,300.03683706449004,0.277785062789917,0.03683706449004376
3.5358593665351794,0.00011245305358897895,300.0385121851259,0.2768324315547943,0.03851218512591004
3.7030695840051413,0.00011240402091061696,300.04025997846907,0.27584365010261536,0.04025997846906648
3.8781871456107235,0.00011236098362132907,300.042083417006,0.27481773495674133,0.04208341700598339
4.061585988376979,0.00011233628902118653,300.04398579946684,0.2737537920475006,0.04398579946683867
4.253657732750387,0.00011232282122364268,300.0459704205659,0.27265092730522156,0.04597042056587952
4.454812518844989,0.0001122487083193846,300.0480392493163,0.27150827646255493,0.048039249316275345
4.6654798822344725,0.0001122074609156698,300.05019614121267,0.2703250050544739,0.050196141212666134
4.886109671160326,0.0001121513923862949,300.05244407647257,0.2691003382205963,0.05244407647256821
5.117173007114605,0.0001121028617490083,300.05478658767447,0.26783356070518494,0.054786587674470866
5.359163290848515,0.00011203854955965653,300.05722674556813,0.26652395725250244,0.0572267455681299
5.612597255954972,0.00011200981680303812,300.0597689425144,0.2651709318161011,0.05976894251438125
5.878016072274912,0.0001119603039114736,300.0624162708846,0.26377397775650024,0.062416270884625646
6.155986501483508,0.00011186445772182196,300.0651711097324,0.26233261823654175,0.0651711097323755
6.44710210732387,0.00011180318688275293,300.06803807415906,0.2608465254306793,0.06803807415906249
6.751984523072501,0.0001117340216296725,300.0710206730933,0.2593154311180115,0.07102067309330096
7.071284778942996,0.00011167507909704,300.07412300654283,0.25773921608924866,0.07412300654283399
7.405684692262435,0.00011162226292071864,300.0773491193645,0.25611791014671326,0.07734911936449862
7.755898323389002,0.00011153273953823373,300.0807016189989,0.2544516324996948,0.08070161899888717
8.12267350047972,0.00011145004100399092,300.0841845526854,0.25274068117141724,0.08418455268537173
8.506793416364161,0.00011139059643028304,300.0878026325127,0.2509855329990387,0.08780263251270526
8.909078300934143,0.00011126034223707393,300.09155691132,0.24918685853481293,0.0915569113200263
9.33038717262037,0.00011118810652988032,300.09545345059036,0.2473454475402832,0.09545345059035526
9.77161967269618,0.00011114309745607898,300.0994972332476,0.2454623579978943,0.09949723324757542
10.233717986325203,0.00011103631550213322,300.1036892515045,0.24353887140750885,0.10368925150447694
10.717668854455034,0.00011092740169260651,300.1080329275052,0.24157646298408508,0.10803292750517812
11.22450568085307,0.00011083616118412465,300.1125325666436,0.23957687616348267,0.11253256664360833
11.755310738783699,0.00011072858615079895,300.11719066969664,0.23754209280014038,0.11719066969664027
12.311217482038908,0.00011063068814110011,300.1220109168483,0.2354743480682373,0.12201091684829635
12.893412965257157,0.00011050776083720848,300.1269948720041,0.2333761751651764,0.1269948720041043
13.503140378698735,0.00011040265235351399,300.1321463057319,0.23125039041042328,0.1321463057319079
