time_s,I_level1_A,I_level2_A,I_level3_A,norm_I_level1,norm_I_level2,norm_I_level3
408.81688243912896,1.690600029676225e-05,-6.396282799378196e-06,-8.332788956172465e-05,0.9999988830077962,0.9999988830077963,0.9999988830077963
428.13323987193957,1.6905999404488164e-05,-6.3962824617917e-06,-8.332788516379995e-05,0.9999988302293109,0.9999988302293109,0.999998830229311
448.36228384119056,1.6905998470054705e-05,-6.396282108254461e-06,-8.332788055807613e-05,0.9999987749570762,0.9999987749570761,0.9999987749570762
469.5471382493421,1.6905997491469867e-05,-6.396281738012816e-06,-8.332787573473485e-05,0.999998717073264,0.999998717073264,0.9999987170732643
491.73296457790156,1.6905996466647533e-05,-6.396281350277494e-06,-8.332787068349382e-05,0.9999986564544796,0.9999986564544795,0.9999986564544796
514.9670581618343,1.6905995393403012e-05,-6.396280944221931e-06,-8.332786539358494e-05,0.9999985929714971,0.9999985929714968,0.999998592971497
539.298949012887,1.690599426944839e-05,-6.396280518980509e-06,-8.332785985373134e-05,0.9999985264889851,0.9999985264889851,0.9999985264889851
564.7805074067546,1.6905993092387653e-05,-6.39628007364671e-06,-8.332785405212332e-05,0.9999984568652183,0.9999984568652183,0.9999984568652184
591.4660544591745,1.690599185971158e-05,-6.396279607271184e-06,-8.332784797639316e-05,0.9999983839517748,0.9999983839517748,0.9999983839517748
619.412477926676,1.6905990568792378e-05,-6.396279118859725e-06,-8.33278416135888e-05,0.9999983075932195,0.9999983075932195,0.9999983075932195
648.6793534788508,1.690598921687811e-05,-6.3962786073711504e-06,-8.332783495014617e-05,0.9999982276267736,0.9999982276267735,0.9999982276267736
679.3290717006688,1.6905987801086802e-05,-6.396278071715086e-06,-8.332782797186038e-05,0.9999981438819668,0.999998143881967,0.999998143881967
711.4269710955731,1.6905986318400314e-05,-6.396277510749635e-06,-8.332782066385531e-05,0.9999980561802748,0.9999980561802748,0.9999980561802749
745.0414773728917,1.6905984765657902e-05,-6.39627692327895e-06,-8.3327813010552e-05,0.9999979643347378,0.9999979643347379,0.999997964334738
780.2442493165045,1.6905983139549475e-05,-6.396276308050677e-06,-8.332780499563533e-05,0.9999978681495619,0.9999978681495619,0.999997868149562
817.1103315457186,1.6905981436608552e-05,-6.396275663753295e-06,-8.332779660201941e-05,0.9999977674197033,0.9999977674197033,0.9999977674197034
855.7183144940002,1.6905979653204853e-05,-6.396274989013308e-06,-8.332778781181096e-05,0.9999976619304286,0.9999976619304285,0.9999976619304286
896.150501946605,1.6905977785536574e-05,-6.396274282392329e-06,-8.332777860627132e-05,0.9999975514568595,0.9999975514568595,0.9999975514568595
938.4930864942721,1.6905975829622292e-05,-6.39627354238401e-06,-8.332776896577644e-05,0.9999974357634925,0.9999974357634926,0.9999974357634925
982.836333277001,1.6905973781292453e-05,-6.396272767410823e-06,-8.332775886977504e-05,0.9999973146036963,0.9999973146036962,0.9999973146036963
1029.2747724096077,1.6905971636180498e-05,-6.39627195582071e-06,-8.332774829674482e-05,0.9999971877191866,0.9999971877191867,0.9999971877191867
1077.9074004992735,1.6905969389713556e-05,-6.39627110588355e-06,-8.332773722414657e-05,0.9999970548394757,0.9999970548394755,0.9999970548394757
1128.8378916846884,1.690596703710269e-05,-6.396270215787481e-06,-8.332772562837614e-05,0.9999969156812952,0.9999969156812952,0.9999969156812953
1182.1748186466698,1.6905964573332694e-05,-6.396269283635028e-06,-8.33277134847141e-05,0.9999967699479935,0.9999967699479935,0.9999967699479936
1238.0318840613968,1.69059619931514e-05,-6.396268307439065e-06,-8.332770076727305e-05,0.9999966173289015,0.9999966173289015,0.9999966173289015
1296.5281629896688,1.690595929105848e-05,-6.396267285118577e-06,-8.332768744894248e-05,0.9999964574986724,0.9999964574986723,0.9999964574986723
1357.7883567189276,1.6905956461293716e-05,-6.396266214494221e-06,-8.33276735013309e-05,0.999996290116586,0.999996290116586,0.999996290116586
1421.9430585991647,1.690595349782474e-05,-6.396265093283687e-06,-8.332765889470538e-05,0.9999961148258245,0.9999961148258245,0.9999961148258246
1489.1290324394088,1.6905950394334153e-05,-6.396263919096824e-06,-8.332764359792812e-05,0.9999959312527105,0.9999959312527105,0.9999959312527106
1559.489504058283,1.6905947144206074e-05,-6.3962626894305525e-06,-8.332762757839013e-05,0.999995739005911,0.9999957390059109,0.9999957390059109
